3,,Location Summary,,,,,,,,,,,,,,,,,,
Building,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks,Custom
BLD10PST,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD10PST,RvalRoof,,R-value (m2·K / W),2.375296912,2.666666667,3.831417625,2.444987775,1.757469244,3.663003663,1.996007984,3.03030303,2.985074627,2.747252747,3.378378378,3.50877193,3.968253968,3.649635036,4.405286344,5.747126437,2.747252747
BLD10PST,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,4.092,5.835,5.835,4.092,3.354,4.092,4.092,3.354,3.354,2.956,2.956,2.956,2.956,4.092
BLD10PST,SHGC,,SHGC,0.251,0.251,0.251,0.255,0.44,0.251,0.392,0.355,0.362,0.392,0.385,0.385,0.385,0.385,0.487,0.616,0.392
BLD10PST,HVAC,,Air Conditioning (kW),2737.63867,2516.72782,2298.93017,2331.40389,2089.13206,1962.18531,1789.83044,2268.03825,1516.14521,1556.61786,2247.53479,1462.06698,2126.48406,1273.61985,1908.38179,1286.6883,1556.61786
BLD10PST,HEAT,,Heating (kW),2353.57833,2780.23149,2429.26661,2953.74385,2348.80064,2497.63825,2727.59545,3131.68993,2518.2427,2767.37552,3621.30135,2887.00589,3827.02196,3507.80117,3909.34247,5119.39906,2767.37552
BLD10PST,COP,,Air Conditioning (COP),2.744137528,2.752264341,2.779950428,2.771854521,2.807573474,2.816134879,2.769474003,2.77255553,2.85062262,2.829674113,2.775003289,2.863112126,2.790524095,2.858411132,2.823148939,2.828311755,2.829674113
BLD10PST,EffHeat,,Heating Efficiency (%),0.7505619,0.754492091,0.753040669,0.755219708,0.751579136,0.754712034,0.749413669,0.757395749,0.756692515,0.755968691,0.757978776,0.758974795,0.75927001,0.758945066,0.759267655,0.756370845,0.755968691
BLD10PST,Fan,,Fan Max Flow Rate (m3/s ),99.42,86.6,90.06,85.45,94.3,84.54,102.97,79.08,80.14,81.24,78.3,75.07,75.15,76.03,75.18,83.63,81.24
BLD10NEW,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD10NEW,RvalWall,,R-value (m2·K / W),1.420454545,1.420454545,1.420454545,1.420454545,1.420454545,1.420454545,1.420454545,1.420454545,1.420454545,1.420454545,2.096436059,2.096436059,2.096436059,2.096436059,2.754820937,2.754820937,1.420454545
BLD10NEW,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD10NEW,RvalRoof,,R-value (m2·K / W),2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.849002849,2.849002849,2.849002849,2.849002849,2.793296089,3.717472119,2.793296089
BLD10NEW,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,3.241,3.241,3.241,5.835,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.241,2.615,3.241
BLD10NEW,SHGC,,SHGC,0.251,0.251,0.251,0.252,0.252,0.252,0.39,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.487,0.296,0.385
BLD10NEW,HVAC,,Air Conditioning (kW),2366.43512,2376.49793,2198.15828,2186.71014,1739.32773,1875.85045,1706.96005,2254.94497,1536.8229,1510.20746,2217.71016,1499.51543,2136.62291,1286.0534,1926.13486,1058.06299,1510.20746
BLD10NEW,HEAT,,Heating (kW),2044.96652,2673.10303,2332.43034,2804.24487,1999.22775,2390.78512,2648.02403,3145.47541,2513.11789,2681.38052,3598.14337,2905.47828,3857.82476,3487.68075,3950.86409,4572.85644,2681.38052
BLD10NEW,COP,,Air Conditioning (COP),2.951415846,2.95171128,2.964686719,2.963898878,2.999801283,2.988552005,2.960338128,2.960433041,3.006290775,2.997875524,2.961943143,3.00911729,2.967744,3.008186994,2.989094445,3.019184311,2.997875524
BLD10NEW,EffHeat,,Heating Efficiency (%),0.771304606,0.780220888,0.770833381,0.7802183,0.772270208,0.771684957,0.780345299,0.780218185,0.771758613,0.78017636,0.78021883,0.780211547,0.780222974,0.780209089,0.780213722,0.780213722,0.78017636
BLD10NEW,Fan,,Fan Max Flow Rate (m3/s ),79.44,80.99,84.3,78.14,72.39,78.41,97.67,79.78,80.17,76.97,78.04,76.76,77.28,75.81,77.58,68.32,76.97
