#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Forcing parameters near surface or top of the domain based on user's choice 
# 0:time [hr] 1:T [K] 2:S [m s^-1] 3:RH [-] 4:q [kg kg^-1] 5:Pressure [Pa] 6:Rain [mm s^-1] 
90 291.775000 1.333333 0.632583 0.008600 99143.133333 0.000022 
91 291.566667 1.575000 0.648667 0.008700 99195.625000 0.000015 
92 291.183333 1.875000 0.672000 0.008800 99198.633333 0.000005 
93 290.783333 2.083333 0.690500 0.008800 99148.725000 0.000001 
94 290.566667 2.283333 0.704833 0.008800 99122.383333 0.000001 
95 290.366667 2.483333 0.713333 0.008800 99092.625000 0.000002 
96 290.350000 2.775000 0.738750 0.009200 99063.700000 0.000009 
97 290.075000 2.891667 0.772167 0.009400 99041.225000 0.000014 
98 289.958333 2.808333 0.765833 0.009300 99026.566667 0.000022 
99 289.766667 2.708333 0.766833 0.009200 98998.450000 0.000046 
100 289.566667 2.791667 0.779833 0.009200 99020.016667 0.000379 
101 289.550000 2.983333 0.791083 0.009300 99044.475000 0.000273 
102 289.550000 2.725000 0.803917 0.009500 99062.633333 0.000308 
103 289.458333 2.608333 0.828833 0.009700 99096.916667 0.000304 
104 289.450000 2.691667 0.838333 0.009800 99146.925000 0.000306 
105 289.541667 2.516667 0.859167 0.010100 99180.258333 0.000115 
106 290.008333 2.683333 0.890333 0.010800 99181.983333 0.000095 
107 289.958333 2.975000 0.810500 0.009800 99214.716667 0.000188 
108 290.225000 1.900000 0.845167 0.010400 99224.300000 0.000481 
109 290.983333 2.258333 0.783000 0.010100 99250.108333 0.000370 
110 291.233333 2.300000 0.794417 0.010400 99281.550000 0.000241 
111 290.975000 2.116667 0.789583 0.010200 99264.583333 0.000138 
112 290.766667 1.641667 0.789917 0.010000 99245.383333 0.000060 
113 290.475000 1.600000 0.780833 0.009700 99287.066667 0.000040 
114 290.266667 1.875000 0.752500 0.009300 99302.183333 0.000013 
115 289.975000 2.358333 0.733500 0.008800 99366.266667 0.000002 
116 289.400000 2.491667 0.738417 0.008600 99410.133333 0.000000 
117 288.708333 2.316667 0.751833 0.008400 99379.866667 0.000013 
118 288.008333 2.025000 0.771333 0.008200 99393.483333 0.000006 
119 287.308333 1.816667 0.792250 0.008000 99450.091667 0.000005 
120 287.616667 1.891667 0.755500 0.007800 99480.033333 0.000001 
121 286.916667 1.625000 0.775833 0.007700 99521.625000 0.000002 
122 286.391667 1.233333 0.805500 0.007700 99564.066667 0.000003 
123 286.075000 0.925000 0.830000 0.007800 99596.291667 0.000003 
124 285.866667 1.083333 0.847583 0.007800 99641.158333 0.000007 
125 286.125000 1.100000 0.827000 0.007700 99701.925000 0.000035 
126 286.700000 1.100000 0.772750 0.007500 99730.016667 0.000025 
127 287.483333 1.283333 0.710250 0.007300 99761.250000 0.000047 
128 288.100000 1.666667 0.676583 0.007200 99784.891667 0.000041 
129 288.700000 1.883333 0.645583 0.007100 99797.433333 0.000013 
130 289.300000 2.083333 0.612750 0.007000 99789.600000 0.000015 
131 289.808333 2.375000 0.584333 0.006900 99794.300000 0.000002 
132 290.491667 2.675000 0.552667 0.006800 99793.333333 0.000000 
133 290.550000 2.700000 0.534417 0.006600 99775.600000 0.000000 
134 290.916667 2.150000 0.512833 0.006500 99750.075000 0.000000 
135 290.950000 1.733333 0.506417 0.006500 99706.833333 0.000000 
136 290.858333 1.791667 0.517000 0.006600 99685.041667 0.000000 
137 290.666667 1.891667 0.532667 0.006700 99675.333333 0.000000 
138 290.466667 1.900000 0.552333 0.006800 99681.200000 0.000000 
139 290.175000 1.625000 0.569583 0.006900 99720.941667 0.000000 
140 289.875000 1.141667 0.588417 0.007000 99742.650000 0.000000 
141 289.483333 0.825000 0.614750 0.007100 99760.433333 0.000000 
142 289.083333 0.891667 0.650000 0.007400 99744.850000 0.000000 
143 288.683333 1.266667 0.682333 0.007500 99757.050000 0.000000 
144 287.366667 2.125000 0.755583 0.007700 99777.091667 0.000000 
145 287.066667 2.291667 0.781250 0.007800 99771.100000 0.000000 
146 286.958333 2.300000 0.797667 0.007900 99773.516667 0.000000 
147 286.858333 1.841667 0.810000 0.008000 99767.750000 0.000000 
148 286.666667 1.433333 0.826583 0.008000 99822.200000 0.000000 
149 286.650000 1.125000 0.805083 0.007800 99853.508333 0.000000 
150 287.291667 1.100000 0.771833 0.007800 99866.900000 0.000000 
151 288.266667 1.283333 0.728667 0.007800 99883.483333 0.000000 
152 289.450000 1.483333 0.655333 0.007600 99895.441667 0.000000 
153 290.283333 2.141667 0.614167 0.007500 99978.991667 0.000000 
154 290.900000 2.566667 0.600917 0.007600 99986.133333 0.000000 
155 291.500000 2.600000 0.581667 0.007700 99962.725000 0.000000 
156 292.100000 2.691667 0.538750 0.007400 99947.766667 0.000000 
157 292.700000 2.608333 0.518500 0.007400 99936.150000 0.000000 
158 293.025000 2.325000 0.505083 0.007300 99911.550000 0.000000 
159 293.141667 2.391667 0.502167 0.007300 99862.008333 0.000000 
160 292.966667 2.125000 0.513917 0.007400 99848.533333 0.000000 
161 292.583333 1.825000 0.535167 0.007600 99853.750000 0.000000 
162 292.183333 1.525000 0.551667 0.007600 99882.350000 0.000000 
163 292.058333 1.041667 0.562167 0.007700 99936.325000 0.000000 
164 291.866667 0.725000 0.573083 0.007700 99944.666667 0.000000 
165 291.575000 0.975000 0.588667 0.007800 99949.950000 0.000000 
166 291.183333 1.366667 0.610167 0.007900 99952.050000 0.000000 
167 290.783333 1.766667 0.635833 0.008000 99948.900000 0.000000 
168 289.283333 2.625000 0.712250 0.008200 99954.283333 0.000000 
169 288.783333 2.700000 0.741917 0.008200 99932.983333 0.000000 
170 288.566667 2.241667 0.753167 0.008200 99955.383333 0.000000 
171 288.550000 2.108333 0.754917 0.008300 99955.216667 0.000000 
172 288.550000 2.191667 0.778833 0.008500 99953.166667 0.000000 
173 288.550000 1.925000 0.759917 0.008300 99964.550000 0.000000 
174 289.558333 1.350000 0.694750 0.008100 99959.366667 0.000000 
175 290.566667 1.116667 0.655083 0.008100 99964.575000 0.000000 
176 291.658333 1.100000 0.618083 0.008200 99942.825000 0.000000 
177 292.666667 1.466667 0.583833 0.008300 99982.325000 0.000000 
178 293.575000 1.866667 0.556250 0.008400 99935.591667 0.000000 
179 294.291667 2.358333 0.529250 0.008300 99906.066667 0.000000 
180 294.991667 2.583333 0.504083 0.008300 99884.275000 0.000000 
181 295.233333 2.325000 0.496500 0.008300 99855.550000 0.000000 
182 295.525000 1.475000 0.481333 0.008200 99806.441667 0.000000 
183 295.916667 1.216667 0.470833 0.008200 99738.125000 0.000000 
184 295.950000 1.291667 0.476417 0.008300 99697.375000 0.000000 
185 295.675000 1.116667 0.481583 0.008200 99672.200000 0.000000 
186 295.375000 0.641667 0.490250 0.008200 99652.233333 0.000000 
187 294.983333 0.233333 0.501083 0.008200 99687.266667 0.000000 
188 294.491667 0.475000 0.519417 0.008300 99672.816667 0.000000 
189 293.900000 0.683333 0.544833 0.008400 99658.000000 0.000000 
190 293.300000 0.791667 0.577250 0.008500 99632.325000 0.000000 
191 292.700000 1.075000 0.611167 0.008700 99601.316667 0.000000 
192 290.541667 1.191667 0.734083 0.009200 99578.900000 0.000000 
193 290.075000 1.383333 0.762417 0.009200 99571.783333 0.000000 
194 289.683333 1.583333 0.775917 0.009200 99548.291667 0.000000 
195 289.100000 1.508333 0.804500 0.009200 99553.533333 0.000000 
196 288.500000 1.500000 0.847333 0.009300 99560.983333 0.000000 
197 288.633333 1.133333 0.856500 0.009500 99586.075000 0.000000 
198 289.750000 1.100000 0.792833 0.009400 99571.433333 0.000000 
