#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Change in water volume of soil 
# 0:time [hr] 1:dVRoofSoilVeg_dt [mm s^-1] 2:dVGroundSoilImp_dt [mm s^-1] 3:dVGroundSoilBare_dt [mm s^-1] 4:dVGroundSoilVeg_dt [mm s^-1] 5:dVGroundSoilTot_dt 
74 -0.000000 -0.000009 nan 0.000000 -0.000004 
75 -0.000000 -0.000009 nan 0.000000 -0.000004 
76 -0.000000 -0.000009 nan -0.000008 -0.000008 
77 -0.000000 -0.000009 nan -0.000037 -0.000023 
78 -0.000000 -0.000009 nan -0.000054 -0.000031 
79 -0.000000 -0.000009 nan -0.000076 -0.000043 
80 -0.000000 -0.000009 nan -0.000098 -0.000053 
81 -0.000000 -0.000009 nan -0.000114 -0.000062 
82 -0.000000 -0.000009 nan -0.000129 -0.000069 
83 -0.000000 -0.000010 nan -0.000145 -0.000077 
84 -0.000000 -0.000010 nan -0.000153 -0.000081 
85 -0.000000 -0.000010 nan -0.000153 -0.000082 
86 -0.000000 -0.000010 nan -0.000097 -0.000054 
87 -0.000000 -0.000010 nan -0.000062 -0.000036 
88 -0.000000 -0.000011 nan -0.000053 -0.000032 
89 -0.000000 -0.000011 nan -0.000030 -0.000020 
90 -0.000000 -0.000011 nan -0.000010 -0.000010 
91 -0.000000 -0.000011 nan -0.000001 -0.000006 
92 -0.000000 -0.000011 nan -0.000001 -0.000006 
93 -0.000000 -0.000011 nan -0.000000 -0.000005 
94 -0.000000 -0.000010 nan 0.000000 -0.000005 
95 -0.000000 -0.000010 nan -0.000002 -0.000006 
96 -0.000000 -0.000010 nan -0.000004 -0.000007 
97 -0.000000 -0.000010 nan -0.000003 -0.000007 
98 -0.000000 -0.000010 nan -0.000004 -0.000007 
99 -0.000000 -0.000010 nan -0.000004 -0.000007 
100 -0.000000 -0.000010 nan -0.000018 -0.000014 
101 -0.000000 -0.000010 nan -0.000030 -0.000020 
102 -0.000000 -0.000010 nan -0.000051 -0.000031 
103 -0.000000 -0.000011 nan -0.000072 -0.000041 
104 -0.000000 -0.000011 nan -0.000095 -0.000053 
105 -0.000000 -0.000011 nan -0.000117 -0.000064 
106 -0.000000 -0.000011 nan -0.000132 -0.000071 
107 -0.000000 -0.000011 nan -0.000138 -0.000075 
108 -0.000000 -0.000011 nan -0.000150 -0.000080 
109 -0.000000 -0.000012 nan -0.000144 -0.000078 
110 -0.000000 -0.000012 nan -0.000127 -0.000069 
111 -0.000000 -0.000012 nan -0.000068 -0.000040 
112 -0.000000 -0.000012 nan -0.000053 -0.000032 
113 -0.000000 -0.000012 nan -0.000031 -0.000022 
114 -0.000000 -0.000012 nan -0.000011 -0.000011 
115 -0.000000 -0.000012 nan 0.000000 -0.000006 
116 -0.000000 -0.000012 nan 0.000002 -0.000005 
117 -0.000000 -0.000012 nan 0.000002 -0.000005 
118 -0.000000 -0.000012 nan 0.000002 -0.000005 
119 -0.000000 -0.000012 nan 0.000002 -0.000005 
120 -0.000000 -0.000012 nan 0.000002 -0.000005 
121 -0.000000 -0.000012 nan 0.000003 -0.000005 
122 -0.000000 -0.000012 nan 0.000003 -0.000005 
123 -0.000000 -0.000012 nan 0.000003 -0.000005 
124 -0.000000 -0.000012 nan -0.000013 -0.000012 
125 -0.000000 -0.000012 nan -0.000033 -0.000022 
126 -0.000000 -0.000012 nan -0.000049 -0.000031 
127 -0.000000 -0.000012 nan -0.000076 -0.000044 
128 -0.000000 -0.000012 nan -0.000101 -0.000057 
129 -0.000000 -0.000012 nan -0.000127 -0.000070 
130 -0.000000 -0.000013 nan -0.000150 -0.000081 
131 -0.000000 -0.000013 nan -0.000153 -0.000083 
132 -0.000000 -0.000013 nan -0.000168 -0.000091 
133 -0.000000 -0.000013 nan -0.000162 -0.000088 
