#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Soil water potential 
# 0:time [hr] 1:SoilPotWGroundTot_H [MPa] 2:SoilPotWGroundTot_L [MPa] 
207 -0.133626 -0.453952 
208 -0.135695 -0.470984 
209 -0.136420 -0.475213 
210 -0.136531 -0.474204 
211 -0.136021 -0.467953 
212 -0.135375 -0.460722 
213 -0.134736 -0.453677 
214 -0.134111 -0.446879 
215 -0.133498 -0.440300 
216 -0.132900 -0.433945 
217 -0.132315 -0.427800 
218 -0.131743 -0.421842 
219 -0.131182 -0.416068 
220 -0.130910 -0.412877 
221 -0.131337 -0.416089 
222 -0.132090 -0.421808 
223 -0.133455 -0.432513 
224 -0.135613 -0.450332 
225 -0.138546 -0.475878 
226 -0.142088 -0.508493 
227 -0.146148 -0.548113 
228 -0.150584 -0.593918 
229 -0.155201 -0.644233 
230 -0.159619 -0.695155 
231 -0.163409 -0.740977 
232 -0.165722 -0.767529 
233 -0.166558 -0.774535 
234 -0.166407 -0.769141 
235 -0.165729 -0.757759 
236 -0.164795 -0.743393 
237 -0.163900 -0.729840 
238 -0.163014 -0.716695 
239 -0.162273 -0.705861 
240 -0.161555 -0.695540 
241 -0.160836 -0.685374 
242 -0.160053 -0.674458 
243 -0.159345 -0.664760 
244 -0.158900 -0.658300 
245 -0.159302 -0.662501 
246 -0.160303 -0.673637 
247 -0.162072 -0.693697 
248 -0.164681 -0.724366 
249 -0.168099 -0.766332 
250 -0.172138 -0.818288 
251 -0.176562 -0.876905 
252 -0.181215 -0.940895 
253 -0.185963 -1.008700 
254 -0.190560 -1.077300 
255 -0.194258 -1.132353 
256 -0.196127 -1.154392 
257 -0.196529 -1.150809 
258 -0.196020 -1.134279 
259 -0.194929 -1.110241 
260 -0.193629 -1.084073 
261 -0.192309 -1.058397 
262 -0.191045 -1.034542 
263 -0.189817 -1.012050 
264 -0.188701 -0.992134 
265 -0.187672 -0.974179 
266 -0.186707 -0.957652 
267 -0.185809 -0.942528 
268 -0.185222 -0.932431 
269 -0.185295 -0.932709 
270 -0.186169 -0.944418 
271 -0.188078 -0.971408 
272 -0.190722 -1.009519 
273 -0.193894 -1.055999 
274 -0.197516 -1.110176 
275 -0.201883 -1.178415 
276 -0.206858 -1.256608 
277 -0.212211 -1.344288 
278 -0.217163 -1.429858 
279 -0.220731 -1.491837 
280 -0.222768 -1.520586 
281 -0.223271 -1.518975 
282 -0.222670 -1.496841 
283 -0.221334 -1.462261 
284 -0.219691 -1.423551 
285 -0.218113 -1.387654 
286 -0.216625 -1.354834 
