#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Soil water potential 
# 0:time [hr] 1:SoilPotWGroundTot_H [MPa] 2:SoilPotWGroundTot_L [MPa] 
207 -0.042154 -0.048055 
208 -0.042412 -0.048477 
209 -0.042621 -0.048789 
210 -0.042737 -0.048913 
211 -0.042767 -0.048854 
212 -0.042803 -0.048832 
213 -0.042838 -0.048816 
214 -0.042875 -0.048812 
215 -0.042905 -0.048793 
216 -0.042926 -0.048756 
217 -0.042937 -0.048699 
218 -0.042944 -0.048630 
219 -0.042942 -0.048535 
220 -0.042937 -0.048407 
221 -0.042947 -0.048305 
222 -0.043004 -0.048331 
223 -0.043131 -0.048534 
224 -0.043341 -0.048946 
225 -0.043620 -0.049519 
226 -0.044173 -0.050797 
227 -0.044992 -0.052770 
228 -0.045532 -0.053962 
229 -0.045903 -0.054701 
230 -0.046240 -0.055346 
231 -0.046536 -0.055891 
232 -0.046787 -0.056325 
233 -0.046980 -0.056615 
234 -0.047074 -0.056687 
235 -0.047089 -0.056598 
236 -0.047093 -0.056495 
237 -0.047092 -0.056385 
238 -0.047086 -0.056269 
239 -0.047076 -0.056147 
240 -0.047062 -0.056020 
241 -0.047043 -0.055888 
242 -0.047021 -0.055749 
243 -0.046998 -0.055611 
244 -0.047002 -0.055534 
245 -0.047053 -0.055565 
246 -0.047158 -0.055733 
247 -0.047317 -0.056033 
248 -0.047530 -0.056456 
249 -0.047775 -0.056940 
250 -0.048315 -0.058220 
251 -0.049162 -0.060363 
252 -0.049686 -0.061563 
253 -0.050031 -0.062258 
254 -0.050361 -0.062911 
255 -0.050654 -0.063464 
256 -0.050898 -0.063892 
257 -0.051070 -0.064134 
258 -0.051125 -0.064098 
259 -0.051022 -0.063651 
260 -0.050905 -0.063186 
261 -0.050788 -0.062741 
262 -0.050671 -0.062312 
263 -0.050592 -0.062013 
264 -0.050532 -0.061787 
265 -0.050480 -0.061587 
266 -0.050431 -0.061399 
267 -0.050379 -0.061208 
268 -0.050352 -0.061067 
269 -0.050364 -0.061013 
270 -0.050432 -0.061096 
271 -0.050567 -0.061336 
272 -0.050709 -0.061554 
273 -0.050815 -0.061626 
274 -0.051295 -0.062744 
275 -0.052172 -0.065034 
276 -0.052746 -0.066420 
277 -0.053168 -0.067360 
278 -0.053558 -0.068195 
279 -0.053905 -0.068897 
280 -0.054205 -0.069477 
281 -0.054423 -0.069853 
282 -0.054524 -0.069966 
283 -0.054433 -0.069564 
284 -0.054322 -0.069120 
285 -0.054196 -0.068646 
286 -0.054070 -0.068186 
287 -0.053944 -0.067737 
288 -0.053879 -0.067506 
289 -0.053838 -0.067355 
290 -0.053795 -0.067202 
291 -0.053750 -0.067044 
292 -0.053727 -0.066927 
293 -0.053775 -0.066963 
294 -0.053887 -0.067170 
295 -0.054048 -0.067502 
296 -0.054257 -0.067946 
297 -0.054535 -0.068554 
298 -0.055169 -0.070186 
299 -0.056173 -0.072951 
300 -0.056802 -0.074551 
301 -0.057203 -0.075463 
302 -0.057581 -0.076307 
303 -0.057926 -0.077054 
304 -0.058233 -0.077691 
305 -0.058437 -0.078052 
306 -0.058489 -0.078039 
307 -0.058433 -0.077767 
308 -0.058371 -0.077496 
309 -0.058303 -0.077214 
310 -0.058228 -0.076916 
311 -0.058146 -0.076605 
312 -0.058059 -0.076286 
313 -0.057970 -0.075966 
314 -0.057877 -0.075637 
315 -0.057781 -0.075304 
316 -0.057709 -0.075029 
317 -0.057705 -0.074916 
318 -0.057780 -0.075029 
319 -0.057929 -0.075337 
320 -0.058139 -0.075802 
321 -0.058413 -0.076433 
322 -0.059050 -0.078163 
323 -0.060076 -0.081145 
324 -0.060714 -0.082864 
325 -0.061140 -0.083908 
326 -0.061553 -0.084905 
327 -0.061958 -0.085880 
328 -0.062283 -0.086618 
329 -0.062457 -0.086913 
330 -0.062490 -0.086832 
331 -0.062421 -0.086513 
332 -0.062334 -0.086153 
333 -0.062240 -0.085776 
334 -0.062140 -0.085384 
335 -0.062033 -0.084981 
336 -0.061917 -0.084555 
337 -0.061800 -0.084126 
338 -0.061676 -0.083685 
339 -0.061549 -0.083243 
340 -0.061453 -0.082874 
341 -0.061429 -0.082695 
342 -0.061498 -0.082789 
343 -0.061661 -0.083152 
344 -0.061892 -0.083696 
345 -0.062189 -0.084413 
346 -0.062870 -0.086355 
347 -0.063982 -0.089744 
348 -0.064657 -0.091657 
349 -0.065086 -0.092753 
350 -0.065489 -0.093751 
351 -0.065856 -0.094630 
352 -0.066172 -0.095356 
353 -0.066386 -0.095777 
354 -0.066439 -0.095772 
355 -0.066386 -0.095506 
356 -0.066318 -0.095199 
357 -0.066240 -0.094869 
358 -0.066145 -0.094476 
359 -0.066033 -0.094036 
360 -0.065910 -0.093565 
361 -0.065780 -0.093082 
362 -0.065642 -0.092580 
363 -0.065498 -0.092057 
364 -0.065384 -0.091609 
365 -0.065359 -0.091402 
366 -0.065459 -0.091578 
367 -0.065659 -0.092058 
368 -0.065899 -0.092648 
369 -0.066164 -0.093287 
370 -0.066906 -0.095498 
371 -0.068125 -0.099411 
372 -0.068853 -0.101590 
373 -0.069308 -0.102821 
374 -0.069729 -0.103926 
375 -0.070099 -0.104856 
376 -0.070403 -0.105576 
377 -0.070618 -0.106006 
378 -0.070619 -0.105824 
379 -0.070495 -0.105291 
380 -0.070367 -0.104766 
381 -0.070236 -0.104238 
382 -0.070098 -0.103695 
383 -0.069954 -0.103138 
384 -0.069804 -0.102562 
385 -0.069648 -0.101976 
386 -0.069487 -0.101382 
387 -0.069322 -0.100780 
388 -0.069188 -0.100254 
389 -0.069139 -0.099968 
390 -0.069196 -0.100020 
391 -0.069344 -0.100359 
392 -0.069566 -0.100919 
393 -0.069892 -0.101805 
394 -0.070623 -0.104118 
395 -0.071722 -0.107793 
396 -0.072412 -0.109939 
397 -0.072910 -0.111402 
398 -0.073376 -0.112745 
399 -0.073778 -0.113859 
400 -0.074105 -0.114703 
401 -0.074264 -0.114981 
402 -0.074219 -0.114631 
403 -0.074063 -0.113977 
404 -0.073893 -0.113288 
405 -0.073715 -0.112573 
406 -0.073529 -0.111844 
407 -0.073341 -0.111116 
408 -0.073143 -0.110357 
409 -0.072933 -0.109558 
410 -0.072722 -0.108768 
411 -0.072512 -0.107998 
412 -0.072327 -0.107287 
413 -0.072213 -0.106783 
414 -0.072197 -0.106605 
415 -0.072279 -0.106753 
416 -0.072456 -0.107216 
417 -0.072629 -0.107571 
418 -0.072982 -0.108561 
419 -0.073516 -0.110225 
420 -0.073792 -0.110923 
421 -0.074019 -0.111491 
422 -0.074250 -0.112109 
423 -0.074427 -0.112532 
424 -0.074539 -0.112721 
425 -0.074525 -0.112473 
426 -0.074401 -0.111905 
427 -0.074196 -0.111150 
428 -0.073979 -0.110350 
429 -0.073758 -0.109539 
430 -0.073541 -0.108763 
431 -0.073329 -0.108013 
432 -0.073115 -0.107263 
433 -0.072901 -0.106526 
434 -0.072689 -0.105807 
435 -0.072478 -0.105089 
436 -0.072288 -0.104421 
437 -0.072164 -0.103944 
438 -0.072138 -0.103788 
439 -0.072212 -0.103923 
440 -0.072340 -0.104211 
441 -0.072516 -0.104586 
442 -0.072978 -0.105938 
443 -0.073777 -0.108561 
444 -0.074308 -0.110178 
445 -0.074612 -0.110999 
446 -0.074887 -0.111699 
447 -0.075113 -0.112236 
448 -0.075280 -0.112581 
449 -0.075353 -0.112625 
450 -0.075262 -0.112201 
451 -0.075062 -0.111464 
452 -0.074869 -0.110779 
453 -0.074674 -0.110091 
454 -0.074480 -0.109414 
455 -0.074284 -0.108740 
456 -0.074087 -0.108065 
457 -0.073886 -0.107387 
458 -0.073683 -0.106704 
459 -0.073484 -0.106040 
460 -0.073309 -0.105445 
461 -0.073199 -0.105024 
462 -0.073173 -0.104870 
463 -0.073235 -0.104975 
464 -0.073362 -0.105256 
465 -0.073442 -0.105277 
466 -0.074071 -0.107162 
467 -0.075229 -0.110961 
468 -0.075885 -0.112963 
469 -0.076253 -0.113942 
470 -0.076573 -0.114724 
471 -0.076865 -0.115413 
472 -0.077118 -0.116002 
473 -0.077296 -0.116358 
474 -0.077210 -0.115917 
475 -0.076940 -0.114872 
476 -0.076742 -0.114147 
477 -0.076583 -0.113586 
478 -0.076420 -0.113023 
479 -0.076254 -0.112450 
480 -0.076080 -0.111858 
481 -0.075901 -0.111250 
482 -0.075716 -0.110627 
483 -0.075527 -0.109993 
484 -0.075366 -0.109431 
485 -0.075276 -0.109065 
486 -0.075289 -0.109021 
487 -0.075392 -0.109254 
488 -0.075570 -0.109703 
489 -0.075842 -0.110426 
490 -0.076517 -0.112547 
491 -0.077684 -0.116458 
492 -0.078362 -0.118576 
493 -0.078810 -0.119865 
494 -0.079226 -0.121037 
495 -0.079567 -0.121957 
496 -0.079813 -0.122552 
497 -0.079947 -0.122777 
498 -0.079894 -0.122464 
499 -0.079732 -0.121852 
500 -0.079561 -0.121211 
501 -0.079385 -0.120565 
502 -0.079203 -0.119902 
503 -0.079016 -0.119230 
504 -0.078827 -0.118554 
505 -0.078638 -0.117882 
506 -0.078440 -0.117175 
507 -0.078231 -0.116424 
508 -0.078050 -0.115750 
509 -0.077946 -0.115311 
510 -0.077956 -0.115248 
511 -0.078057 -0.115484 
512 -0.078218 -0.115916 
513 -0.078423 -0.116431 
514 -0.078912 -0.117911 
515 -0.079624 -0.120203 
516 -0.079972 -0.121160 
517 -0.080288 -0.122122 
518 -0.080573 -0.122956 
519 -0.080761 -0.123448 
520 -0.080875 -0.123677 
521 -0.080864 -0.123411 
522 -0.080719 -0.122732 
523 -0.080518 -0.121998 
524 -0.080318 -0.121281 
525 -0.080101 -0.120469 
526 -0.079866 -0.119572 
527 -0.079642 -0.118759 
528 -0.079424 -0.117973 
529 -0.079203 -0.117182 
530 -0.078996 -0.116471 
