#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Forcing parameters near surface or top of the domain based on user's choice 
# 0:time [hr] 1:T [K] 2:S [m s^-1] 3:RH [-] 4:q [kg kg^-1] 5:Pressure [Pa] 6:Rain [mm s^-1] 
90 293.000000 1.291667 0.761250 0.011400 96597.125000 0.000000 
91 292.666667 0.750000 0.703917 0.010300 96648.900000 0.000000 
92 291.825000 0.791667 0.719083 0.010000 96675.775000 0.000000 
93 289.366667 1.166667 0.810833 0.009700 96707.500000 0.000000 
94 288.050000 1.291667 0.852000 0.009300 96715.608333 0.000000 
95 287.583333 1.300000 0.868750 0.009200 96714.633333 0.000000 
96 287.000000 1.483333 0.879167 0.009000 96691.766667 0.000000 
97 286.491667 1.591667 0.891000 0.008800 96660.183333 0.000000 
98 286.358333 1.600000 0.901167 0.008800 96654.200000 0.000000 
99 286.166667 1.508333 0.906583 0.008800 96678.650000 0.000000 
100 287.066667 1.316667 0.916167 0.009400 96755.241667 0.000000 
101 289.900000 1.300000 0.845500 0.010400 96775.108333 0.000000 
102 291.891667 2.033333 0.767500 0.010700 96791.608333 0.000000 
103 293.058333 2.741667 0.717000 0.010800 96807.941667 0.000000 
104 294.158333 3.533333 0.670833 0.010800 96792.891667 0.000000 
105 295.075000 3.875000 0.627583 0.010700 96755.191667 0.000000 
106 295.700000 3.991667 0.584583 0.010300 96738.975000 0.000000 
107 296.116667 3.816667 0.562667 0.010200 96730.466667 0.000000 
108 296.791667 3.983333 0.537167 0.010200 96697.441667 0.000000 
109 296.850000 3.725000 0.537750 0.010200 96714.300000 0.000000 
110 296.850000 3.608333 0.539833 0.010200 96684.933333 0.000000 
111 296.483333 3.050000 0.562000 0.010400 96681.916667 0.000000 
112 295.808333 2.175000 0.620833 0.011100 96669.891667 0.000000 
113 295.016667 1.641667 0.670000 0.011400 96663.941667 0.000000 
114 293.483333 1.508333 0.720750 0.011100 96676.058333 0.000000 
115 292.066667 1.225000 0.753417 0.010700 96720.741667 0.000000 
116 290.208333 1.383333 0.806417 0.010100 96752.566667 0.000000 
117 289.225000 1.400000 0.824750 0.009700 96778.566667 0.000000 
118 288.783333 1.308333 0.825083 0.009500 96808.750000 0.000000 
119 288.933333 1.208333 0.814917 0.009400 96800.025000 0.000000 
120 289.408333 1.016667 0.801167 0.009600 96782.041667 0.000000 
121 289.266667 0.908333 0.811917 0.009600 96744.750000 0.000000 
122 287.875000 0.991667 0.858833 0.009300 96713.450000 0.000000 
123 286.833333 1.091667 0.891417 0.009000 96705.308333 0.000000 
124 287.116667 0.825000 0.906833 0.009400 96710.116667 0.000000 
125 289.716667 0.616667 0.886000 0.010800 96702.350000 0.000000 
126 292.516667 0.600000 0.778583 0.011300 96732.766667 0.000000 
127 294.491667 0.691667 0.712167 0.011700 96724.325000 0.000000 
128 296.116667 0.608333 0.662083 0.012000 96702.125000 0.000000 
129 297.533333 0.783333 0.603000 0.011900 96662.341667 0.000000 
130 298.658333 1.075000 0.540250 0.011400 96649.825000 0.000000 
131 299.025000 0.916667 0.517583 0.011200 96627.825000 0.000000 
132 299.783333 0.808333 0.492167 0.011100 96579.241667 0.000000 
133 300.125000 0.708333 0.477167 0.011000 96531.183333 0.000000 
134 300.333333 0.608333 0.468667 0.011000 96490.716667 0.000000 
135 300.441667 0.508333 0.470750 0.011100 96464.300000 0.000000 
136 300.175000 0.500000 0.524167 0.012200 96450.375000 0.000000 
137 298.958333 0.958333 0.645417 0.013900 96463.508333 0.000000 
138 296.741667 1.275000 0.751333 0.014200 96417.225000 0.000000 
139 293.983333 1.666667 0.795750 0.012700 96450.208333 0.000000 
140 291.825000 1.700000 0.851250 0.011900 96488.983333 0.000000 
141 290.275000 1.791667 0.886250 0.011200 96518.050000 0.000000 
142 289.325000 1.800000 0.902750 0.010800 96523.883333 0.000000 
143 288.700000 1.891667 0.907667 0.010400 96493.216667 0.000000 
144 288.375000 1.900000 0.904333 0.010200 96440.166667 0.000000 
145 288.166667 1.808333 0.893000 0.009900 96419.008333 0.000000 
146 288.058333 1.708333 0.878250 0.009700 96401.641667 0.000000 
147 288.050000 1.700000 0.864167 0.009500 96390.208333 0.000000 
148 289.241667 1.425000 0.851083 0.010100 96416.616667 0.000000 
149 292.650000 1.125000 0.781250 0.011500 96458.608333 0.000000 
150 294.691667 1.466667 0.763083 0.012700 96545.616667 0.000000 
151 296.225000 1.591667 0.716167 0.013100 96589.225000 0.000000 
152 297.083333 1.600000 0.676250 0.013000 96613.858333 0.000000 
153 298.158333 1.508333 0.626250 0.012900 96612.500000 0.000000 
154 299.258333 1.225000 0.575250 0.012600 96601.841667 0.000000 
155 300.358333 1.475000 0.532500 0.012500 96536.000000 0.000000 
156 301.275000 1.683333 0.499667 0.012400 96500.950000 0.000000 
157 301.625000 2.341667 0.486000 0.012300 96473.916667 0.000000 
158 299.541667 2.033333 0.558333 0.012500 96505.983333 0.000000 
159 299.350000 0.808333 0.587000 0.013000 96503.783333 0.000000 
160 299.166667 0.608333 0.605500 0.013200 96500.366667 0.000000 
161 297.958333 0.691667 0.788500 0.016100 96523.475000 0.000000 
162 296.658333 1.433333 0.785750 0.014800 96481.875000 0.000000 
163 294.533333 1.316667 0.883000 0.014600 96540.141667 0.000000 
164 293.525000 1.025000 0.910333 0.014100 96575.683333 0.000000 
165 293.816667 0.633333 0.890917 0.014100 96552.916667 0.000000 
166 292.291667 1.058333 0.934833 0.013500 96578.100000 0.000000 
167 291.233333 1.283333 0.967417 0.013000 96615.708333 0.000000 
