3,,Location Summary,,,,,,,,,,,,,,,,,,
Building,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks,Basel
BLD15PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8,4C
BLD15PRE,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD15PRE,RvalWall,,R-value (m2·K / W),0.765696784,0.765696784,0.765696784,0.782472613,0.765696784,0.765696784,0.786163522,0.989119683,0.956937799,1.006036217,1.128668172,1.094091904,1.215066829,1.215066829,1.295336788,1.408450704,1.006036217
BLD15PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD15PRE,RvalRoof,,R-value (m2·K / W),1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,2.044989775,1.976284585,2.070393375,2.5,2.369668246,2.985074627,2.985074627,2.93255132,2.985074627,2.070393375
BLD15PRE,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,3.525,3.525,3.525,3.525,3.525,3.525,5.835
BLD15PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.407,0.407,0.407,0.407,0.407,0.407,0.54
BLD15PRE,HVAC,,Air Conditioning (kW),423.85,610.87222,549.93802,687.69759,433.12538,610.91738,385.34747,719.10618,667.04797,504.7306,836.67423,734.35896,910.74259,675.27477,925.92453,832.90846,504.7306
BLD15PRE,HEAT,,Heating (kW),530.01229,800.46643,681.69505,898.00704,573.83229,765.75236,639.8173,974.61942,837.08088,802.56503,1160.92909,994.09027,1271.82715,1208.5766,1329.70366,1789.14468,802.56503
BLD15PRE,COP,,Air Conditioning (COP),3.281510671,3.209033074,3.207913589,3.205760791,3.291606796,3.202885461,3.310865716,3.199906064,3.198266784,3.222485146,3.19761811,3.191876063,3.197194579,3.200176886,3.19481901,3.199833252,3.222485146
BLD15PRE,EffHeat,,Heating Efficiency (%),0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD15PRE,Fan,,Fan Max Flow Rate (m3/s ),19.33,26.76,24.85,30.24,20.98,28.11,22.62,31.18,33.21,26.96,36.17,37.86,39.23,42.1,41.71,52.09,26.96
BLD15PST,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD15PST,RvalWall,,R-value (m2·K / W),0.420698359,0.51786639,0.429553265,0.607164542,0.420698359,0.607164542,0.420698359,1.468428781,0.926784059,1.76056338,1.76056338,1.257861635,2.481389578,2.227171492,2.89017341,3.745318352,1.76056338
BLD15PST,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD15PST,RvalRoof,,R-value (m2·K / W),2.375296912,2.666666667,3.831417625,2.444987775,1.757469244,3.663003663,1.996007984,3.03030303,2.985074627,2.747252747,3.378378378,3.50877193,3.968253968,3.649635036,4.405286344,5.747126437,2.747252747
BLD15PST,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,4.092,5.835,5.835,4.092,3.354,4.092,4.092,3.354,3.354,2.956,2.956,2.956,2.956,4.092
BLD15PST,SHGC,,SHGC,0.251,0.251,0.251,0.255,0.44,0.251,0.392,0.355,0.362,0.392,0.385,0.385,0.385,0.385,0.487,0.616,0.392
BLD15PST,HVAC,,Air Conditioning (kW),431.2655,596.91666,521.78203,667.50801,450.11799,529.98369,391.52684,678.33034,498.98102,472.30664,806.94852,586.63514,871.44071,638.99758,867.72409,758.46849,472.30664
BLD15PST,HEAT,,Heating (kW),534.96079,784.32067,660.40816,877.36314,594.79904,729.95356,649.01814,944.35156,796.99867,773.30112,1135.62422,954.02784,1237.0069,1157.10112,1258.74056,1662.19646,773.30112
BLD15PST,COP,,Air Conditioning (COP),3.283173467,3.210308211,3.209937903,3.206211197,3.274541258,3.217228945,3.312988265,3.199885538,3.237113022,3.234548935,3.197888615,3.230959912,3.196873596,3.209694296,3.211489886,3.198651433,3.234548935
BLD15PST,EffHeat,,Heating Efficiency (%),0.785353847,0.780471193,0.782412124,0.781943847,0.782489048,0.782072483,0.78218547,0.781840007,0.781815661,0.781897808,0.780461107,0.781654892,0.780455222,0.781582047,0.780462008,0.78045542,0.781897808
