3,,Location Summary,,,,,,,,,,,,,,,,,,
Building,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks,Custom
BLD12PRE,EffHeat,,Heating Efficiency (%),0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD12PRE,Fan,,Fan Max Flow Rate (m3/s ),3.75,3.89,4.16,3.96,3.47,4.05,3.14,3.7,3.82,3.36,3.76,3.9,4.07,4.32,4.29,5.39,3.36
BLD12PST,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD12PST,RvalWall,,R-value (m2·K / W),0.420698359,0.51786639,0.429553265,0.607164542,0.420698359,0.607164542,0.420698359,1.468428781,0.926784059,1.76056338,1.76056338,1.257861635,2.481389578,2.227171492,2.89017341,3.745318352,1.76056338
BLD12PST,TypeRoof,,Construction Type,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic
BLD12PST,RvalRoof,,R-value attic floor (m2·K / W),2.379977723,2.668459872,3.828659816,2.446088216,1.761183515,3.669132324,2.001344904,3.036523302,2.985056806,2.751849243,3.322987765,3.45330101,3.913741145,3.594252072,4.402958788,5.681237146,2.751849243
BLD12PST,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,4.092,5.835,5.835,4.092,3.354,4.092,4.092,3.354,3.354,2.956,2.956,2.956,2.956,4.092
BLD12PST,SHGC,,SHGC,0.251,0.251,0.251,0.255,0.44,0.251,0.392,0.355,0.362,0.392,0.385,0.385,0.385,0.385,0.487,0.616,0.392
BLD12PST,HVAC,,Air Conditioning (kW),50.44873,46.84356,44.70455,45.46551,42.19005,39.44931,33.37919,41.67621,38.8313,35.224,43.24141,40.88173,42.49552,42.27949,41.69919,47.01878,35.224
BLD12PST,HEAT,,Heating (kW),63.40417,64.31802,61.80062,63.41951,62.45067,57.1514,52.27186,61.25597,52.59348,56.61423,67.01571,57.46608,69.62005,64.89349,69.79315,85.10859,56.61423
BLD12PST,COP,,PSZ-AC:1_COOLC DXCOIL,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07
BLD12PST,EffHeat,,PSZ-AC:1_HEATC,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
BLD12PST,Fan,,Fan Max Flow Rate (m3/s ),2.56,2.47,2.53,2.46,2.52,2.37,2.01,2.22,2.34,2.13,2.39,2.47,2.44,2.55,2.47,2.84,2.13
BLD12NEW,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD12NEW,RvalWall,,R-value (m2·K / W),0.420698359,0.420698359,0.420698359,1.166861144,1.166861144,1.166861144,1.166861144,1.166861144,1.166861144,1.166861144,1.432664756,1.432664756,1.692047377,1.692047377,1.956947162,2.202643172,1.166861144
BLD12NEW,TypeRoof,,Construction Type,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic
BLD12NEW,RvalRoof,,R-value attic floor (m2·K / W),5.179951516,5.179951516,5.179951516,5.179951516,5.179951516,5.179951516,5.179951516,5.179951516,5.179951516,5.179951516,5.179951516,5.179951516,6.522901909,6.522901909,6.522901909,6.522901909,5.179951516
BLD12NEW,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,3.241,3.241,3.241,5.835,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.241,2.615,3.241
BLD12NEW,SHGC,,SHGC,0.251,0.251,0.251,0.252,0.252,0.252,0.39,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.487,0.296,0.385
BLD12NEW,HVAC,,Air Conditioning (kW),38.65662,36.03253,37.20983,33.59998,26.97426,28.34897,26.54989,33.75489,29.99722,27.27272,32.95645,29.2012,32.0788,29.0537,29.3444,26.75764,27.27272
BLD12NEW,HEAT,,Heating (kW),50.49677,52.89233,51.35577,49.82584,41.82463,43.36088,42.6961,53.45674,42.48661,45.7119,55.30915,44.12572,55.75133,48.93739,53.80803,57.37174,45.7119
BLD12NEW,COP,,PSZ-AC:1_COOLC DXCOIL,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67
BLD12NEW,EffHeat,,PSZ-AC:1_HEATC,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
BLD12NEW,Fan,,Fan Max Flow Rate (m3/s ),2.02,1.98,2.07,1.84,1.62,1.72,1.61,1.87,1.81,1.65,1.86,1.77,1.81,1.77,1.75,1.62,1.65
