3,,Location Summary,,,,,,,,,,,,,,,,,,
Building,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks,Basel
BLD13PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8,4C
BLD13PRE,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD13PRE,RvalWall,,R-value (m2·K / W),0.765696784,0.765696784,0.765696784,0.782472613,0.765696784,0.765696784,0.786163522,0.989119683,0.956937799,1.006036217,1.128668172,1.094091904,1.215066829,1.215066829,1.295336788,1.408450704,1.006036217
BLD13PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD13PRE,RvalRoof,,R-value (m2·K / W),1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,2.044989775,1.976284585,2.070393375,2.5,2.369668246,2.985074627,2.985074627,2.93255132,2.985074627,2.070393375
BLD13PRE,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,3.525,3.525,3.525,3.525,3.525,3.525,5.835
BLD13PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.407,0.407,0.407,0.407,0.407,0.407,0.54
BLD13PRE,HVAC,,Air Conditioning (kW),342.73394,357.35879,348.66701,356.71732,241.7762,295.34039,186.53815,340.99691,242.90933,215.1596,354.08288,249.48743,399.85705,287.80258,409.68951,392.07319,215.1596
BLD13PRE,HEAT,,Heating (kW),147.32394,271.58061,207.68327,329.08751,164.26624,259.68631,205.52346,376.75885,305.62715,289.90594,481.7742,398.24684,541.59168,508.99468,569.9453,778.04926,289.90594
BLD13PRE,COP,,Air Conditioning (COP),3.229894175,3.232308514,3.233184792,3.232842093,3.325697151,3.299053348,3.350142985,3.300969777,3.300898493,3.349092144,3.286758734,3.304573167,3.244482835,3.289298833,3.189266361,3.24503575,3.349092144
BLD13PRE,EffHeat,,Heating Efficiency (%),0.781247121,0.781466094,0.781488155,0.781494152,0.781448361,0.781507236,0.781462474,0.781422197,0.781537704,0.781437506,0.781283576,0.781362851,0.781274667,0.781316059,0.781276651,0.781237713,0.781437506
BLD13PRE,Fan,,Fan Max Flow Rate (m3/s ),13.98,14.74,15.39,15.24,12.26,14.81,10.94,14.26,14.42,12.25,14.54,14.56,16.49,17.53,17.82,23.87,12.25
BLD13PST,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD13PST,RvalWall,,R-value (m2·K / W),0.420698359,0.51786639,0.429553265,0.607164542,0.420698359,0.607164542,0.420698359,1.468428781,0.926784059,1.76056338,1.76056338,1.257861635,2.481389578,2.227171492,2.89017341,3.745318352,1.76056338
BLD13PST,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD13PST,RvalRoof,,R-value (m2·K / W),2.375296912,2.666666667,3.831417625,2.444987775,1.757469244,3.663003663,1.996007984,3.03030303,2.985074627,2.747252747,3.378378378,3.50877193,3.968253968,3.649635036,4.405286344,5.747126437,2.747252747
BLD13PST,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,4.092,5.835,5.835,4.092,3.354,4.092,4.092,3.354,3.354,2.956,2.956,2.956,2.956,4.092
BLD13PST,SHGC,,SHGC,0.251,0.251,0.251,0.255,0.44,0.251,0.392,0.355,0.362,0.392,0.385,0.385,0.385,0.385,0.487,0.616,0.392
BLD13PST,HVAC,,Air Conditioning (kW),305.69073,309.19266,270.44611,317.67452,230.82672,213.03333,164.67959,275.97948,208.76458,179.80958,323.11677,248.87043,355.24096,276.36386,392.0998,355.84625,179.80958
BLD13PST,HEAT,,Heating (kW),152.60235,271.50112,206.40279,325.22556,171.93342,249.30266,215.55688,352.76939,292.58679,271.49013,459.90718,381.42601,513.70837,485.02716,536.34193,727.51001,271.49013
BLD13PST,COP,,Air Conditioning (COP),3.293305476,3.294467079,3.327695841,3.292412227,3.32141061,3.305048682,3.363534824,3.300171005,3.297703338,3.359521089,3.290624413,3.304886295,3.26386613,3.30384831,3.262905666,3.287525713,3.359521089
BLD13PST,EffHeat,,Heating Efficiency (%),0.789091021,0.789886673,0.790164316,0.785460551,0.790152639,0.789854428,0.789915584,0.785081678,0.789512594,0.789062361,0.785065176,0.785241747,0.784968082,0.785028803,0.784965762,0.781114818,0.789062361
BLD13PST,Fan,,Fan Max Flow Rate (m3/s ),12.36,12.54,12.24,13.1,11.42,11.12,9.47,11.51,11.95,9.8,13.57,13.66,15.24,16.33,16.29,21.64,9.8
BLD13NEW,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD13NEW,RvalWall,,R-value (m2·K / W),0.420698359,0.420698359,0.420698359,1.166861144,1.166861144,1.166861144,1.166861144,1.166861144,1.166861144,1.166861144,1.432664756,1.432664756,1.692047377,1.692047377,1.956947162,2.202643172,1.166861144
BLD13NEW,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD13NEW,RvalRoof,,R-value (m2·K / W),2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.849002849,2.849002849,2.849002849,2.849002849,2.793296089,3.717472119,2.793296089
BLD13NEW,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,3.241,3.241,3.241,5.835,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.241,2.615,3.241
BLD13NEW,SHGC,,SHGC,0.251,0.251,0.251,0.252,0.252,0.252,0.39,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.487,0.296,0.385
