3,,Location Summary,,,,,,,,,,,,,,,,,,
Building,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks,Custom
BLD9PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8,4C
BLD9PRE,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD9PRE,RvalWall,,R-value (m2·K / W),0.765696784,0.765696784,0.765696784,0.782472613,0.765696784,0.765696784,0.786163522,0.989119683,0.956937799,1.006036217,1.128668172,1.094091904,1.215066829,1.215066829,1.295336788,1.408450704,1.006036217
BLD9PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD9PRE,RvalRoof,,R-value (m2·K / W),1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,2.044989775,1.976284585,2.070393375,2.5,2.369668246,2.985074627,2.985074627,2.93255132,2.985074627,2.070393375
BLD9PRE,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,3.525,3.525,3.525,3.525,3.525,3.525,5.835
BLD9PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.407,0.407,0.407,0.407,0.407,0.407,0.54
BLD9PRE,HVAC,,Air Conditioning (kW),59.47758,61.04601,64.30647,61.98925,54.2909,63.61924,42.23198,59.4448,51.94405,48.00207,58.23424,51.43248,59.83008,46.09669,58.88891,49.08332,48.00207
BLD9PRE,HEAT,,Heating (kW),79.63785,100.91593,91.2151,107.63396,79.735,95.04185,84.80225,114.7768,94.70861,99.9922,134.90396,112.58331,151.75275,143.17196,157.90873,230.82521,99.9922
BLD9PRE,COP,,Air Conditioning (COP),3.41224551,3.412122176,3.360309421,3.411192583,3.556177008,3.409582026,3.557216185,3.41166693,3.555280776,3.55682522,3.5,3.5,3.5,3.5,3.5,3.5,3.55682522
BLD9PRE,EffHeat,,Heating Efficiency (%),0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD9PRE,Fan,,Fan Max Flow Rate (m3/s ),3.95,4,4.14,4.05,3.85,4.12,3.78,3.94,4.08,3.87,3.89,4.01,3.96,4.05,3.92,4.52,3.87
BLD9PST,TypeWall,,Construction Type,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame
BLD9PST,RvalWall,,R-value (m2·K / W),0.32,1.17370892,0.733675715,1.35501355,0.800640512,1.101321586,1.35501355,1.98019802,1.76056338,1.915708812,2.145922747,2.145922747,2.7100271,2.444987775,3.039513678,3.90625,1.915708812
BLD9PST,TypeRoof,,Construction Type,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic
BLD9PST,RvalRoof,,R-value attic floor (m2·K / W),2.379977723,2.668459872,3.828659816,2.446088216,1.761183515,3.669132324,2.001344904,3.036523302,2.985056806,2.751849243,3.322987765,3.45330101,3.913741145,3.594252072,4.402958788,5.681237146,2.751849243
BLD9PST,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,4.092,5.835,5.835,4.092,3.354,4.092,4.092,3.354,3.354,2.956,2.956,2.956,2.956,4.092
BLD9PST,SHGC,,SHGC,0.251,0.251,0.251,0.255,0.44,0.251,0.392,0.355,0.362,0.392,0.385,0.385,0.385,0.385,0.487,0.616,0.392
BLD9PST,HVAC,,Air Conditioning (kW),56.78371,50.3083,51.71109,50.21574,50.52744,50.88714,36.26533,47.73372,40.82815,38.9171,47.73386,39.40412,46.87565,33.717,39.65286,30.21617,38.9171
BLD9PST,HEAT,,Heating (kW),78.58455,90.36072,78.77394,96.197,75.03189,83.07257,77.48835,103.96777,86.05394,90.86974,119.91561,99.36128,128.09788,117.76758,129.6973,158.99475,90.86974
BLD9PST,COP,,Air Conditioning (COP),3.5,3.560624197,3.558979617,3.560735943,3.560361267,3.559934598,3.563815211,3.563894042,3.557052095,3.560362884,3.563893854,3.557762333,3.565063638,3.5602989,3.551272418,3.67,3.560362884
BLD9PST,EffHeat,,Heating Efficiency (%),0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.788639406,0.8,0.788740277,0.78866314,0.788836014,0.78,0.8
BLD9PST,Fan,,Fan Max Flow Rate (m3/s ),3.84,3.57,3.63,3.57,3.64,3.6,3.46,3.47,3.64,3.47,3.47,3.56,3.44,3.49,3.39,3.37,3.47
BLD9NEW,TypeWall,,Construction Type,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame,WoodFrame
BLD9NEW,RvalWall,,R-value (m2·K / W),1.98019802,1.98019802,1.98019802,1.98019802,1.98019802,1.98019802,1.98019802,1.98019802,1.98019802,1.98019802,1.98019802,1.98019802,1.98019802,1.98019802,1.98019802,3.448275862,1.98019802
BLD9NEW,TypeRoof,,Construction Type,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic
BLD9NEW,RvalRoof,,R-value attic floor (m2·K / W),5.179951516,5.179951516,5.179951516,5.179951516,5.179951516,5.179951516,5.179951516,5.179951516,5.179951516,5.179951516,5.179951516,5.179951516,6.522901909,6.522901909,6.522901909,6.522901909,5.179951516
BLD9NEW,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,3.241,3.241,3.241,5.835,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.241,2.615,3.241
BLD9NEW,SHGC,,SHGC,0.251,0.251,0.251,0.252,0.252,0.252,0.39,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.487,0.296,0.385
BLD9NEW,HVAC,,Air Conditioning (kW),47.88679,48.29812,48.76718,47.7005,43.95718,44.31512,35.04863,47.43035,38.20611,34.93606,47.73445,38.6411,47.79255,34.75337,41.2909,29.06601,34.93606
BLD9NEW,HEAT,,Heating (kW),68.83822,88.50141,76.15241,93.9474,69.29898,80.39711,77.75324,103.68292,85.3776,89.37375,119.90976,99.96012,128.91569,118.64936,131.13328,157.11191,89.37375
BLD9NEW,COP,,Air Conditioning (COP),3.563689805,3.563147392,3.562540018,3.563938539,3.562594257,3.555590636,3.558007916,3.564302715,3.553213949,3.558194828,3.563893065,3.55261491,3.563815392,3.558500744,3.549238404,3.67,3.558194828
BLD9NEW,EffHeat,,Heating Efficiency (%),0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.788639827,0.8,0.788684831,0.788598757,0.788739255,0.78,0.8
BLD9NEW,Fan,,Fan Max Flow Rate (m3/s ),3.48,3.49,3.51,3.47,3.39,3.47,3.47,3.46,3.6,3.4,3.47,3.6,3.47,3.54,3.45,3.29,3.4
