3,,Location Summary,,,,,,,,,,,,,,,,,,
BLD,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks,Custom
BLD3PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8,4C
BLD3PRE,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD3PRE,RvalWall,,R-value (m2·K / W),0.765696784,0.765696784,0.765696784,0.782472613,0.765696784,0.765696784,0.786163522,0.989119683,0.956937799,1.006036217,1.128668172,1.094091904,1.215066829,1.215066829,1.295336788,1.408450704,1.006036217
BLD3PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD3PRE,RvalRoof,,R-value (m2·K / W),1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,2.044989775,1.976284585,2.070393375,2.5,2.369668246,2.985074627,2.985074627,2.93255132,2.985074627,2.070393375
BLD3PRE,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,3.525,3.525,3.525,3.525,3.525,3.525,5.835
BLD3PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.407,0.407,0.407,0.407,0.407,0.407,0.54
BLD3PRE,HVAC,,Air Conditioning (kW),1494.11234,1512.0242,1260.774,1354.19278,909.7562,987.05934,637.60846,1379.69696,718.57986,706.25748,1272.31044,606.69032,1259.20544,571.6005,971.57884,509.57434,706.25748
BLD3PRE,HEAT,,HEATSYS1 BOILER,2853.35707,3547.84672,3087.61812,3800.5772,2890.33079,3287.22705,3102.26302,4155.43638,3407.08263,3635.34113,4724.05409,3931.26931,5068.47055,4659.64477,5144.66477,6251.92051,3635.34113
BLD3PRE,COP,,COOLSYS1 CHILLER 1,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64
BLD3PRE,EffHeat,,HEATSYS1 BOILER,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
BLD3PRE,Fan,,Fan Max Flow Rate (m3/s ),92.79,93.52,95.85,95.16,91.56,96.47,90.78,93.85,98.44,93.01,90.81,94.8,91.11,93.34,89.73,89.24,93.01
BLD3PST,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD3PST,RvalWall,,R-value (m2·K / W),0.420698359,0.51786639,0.429553265,0.607164542,0.420698359,0.607164542,0.420698359,1.468428781,0.926784059,1.76056338,1.76056338,1.257861635,2.481389578,2.227171492,2.89017341,3.745318352,1.76056338
BLD3PST,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD3PST,RvalRoof,,R-value (m2·K / W),2.375296912,2.666666667,3.831417625,2.444987775,1.757469244,3.663003663,1.996007984,3.03030303,2.985074627,2.747252747,3.378378378,3.50877193,3.968253968,3.649635036,4.405286344,5.747126437,2.747252747
BLD3PST,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,4.092,5.835,5.835,4.092,3.354,4.092,4.092,3.354,3.354,2.956,2.956,2.956,2.956,4.092
BLD3PST,SHGC,,SHGC,0.251,0.251,0.251,0.255,0.44,0.251,0.392,0.355,0.362,0.392,0.385,0.385,0.385,0.385,0.487,0.616,0.392
BLD3PST,HVAC,,Air Conditioning (kW),1475.16896,1405.2138,1215.63,1262.20392,901.00172,919.96984,610.742,1280.67566,613.61726,689.95158,1270.92744,608.9093,1204.05684,573.6523,988.34262,532.43022,689.95158
BLD3PST,HEAT,,HEATSYS1 BOILER,2157.89315,2877.16759,2435.83006,3140.67515,2234.34227,2645.30887,2456.68154,3466.04623,2814.84108,2982.60917,4078.89285,3365.54166,4417.23709,4068.16622,4527.36876,5629.82933,2982.60917
BLD3PST,COP,,COOLSYS1 CHILLER 1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
BLD3PST,EffHeat,,HEATSYS1 BOILER,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
BLD3PST,Fan,,Fan Max Flow Rate (m3/s ),89.47,89.54,91.83,91.31,89.45,91.63,87.14,90.19,95.74,90.68,91.16,95.67,91.54,94.3,92.46,94.81,90.68
BLD3NEW,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD3NEW,RvalWall,,R-value (m2·K / W),0.420698359,0.420698359,0.420698359,1.166861144,1.166861144,1.166861144,1.166861144,1.166861144,1.166861144,1.166861144,1.432664756,1.432664756,1.692047377,1.692047377,1.956947162,2.202643172,1.166861144
BLD3NEW,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD3NEW,RvalRoof,,R-value (m2·K / W),2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.849002849,2.849002849,2.849002849,2.849002849,2.793296089,3.717472119,2.793296089
BLD3NEW,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,3.241,3.241,3.241,5.835,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.241,2.615,3.241
BLD3NEW,SHGC,,SHGC,0.251,0.251,0.251,0.252,0.252,0.252,0.39,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.487,0.296,0.385
BLD3NEW,HVAC,,Air Conditioning (kW),1443.41338,1375.19166,1118.80052,1227.13288,834.74756,835.52158,601.77758,1250.62958,590.15248,652.2529,1238.73736,585.00394,1171.71516,545.47278,958.35926,481.0618,652.2529
BLD3NEW,HEAT,,HEATSYS1 BOILER,2106.80072,2811.50621,2370.38244,3043.90116,2173.96825,2564.94279,2404.30161,3377.18615,2748.70059,2894.26117,3969.41648,3290.50722,4301.6083,3965.8732,4427.47595,5422.99848,2894.26117
BLD3NEW,COP,,COOLSYS1 CHILLER 1,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
BLD3NEW,EffHeat,,HEATSYS1 BOILER,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
